番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
9,Z250,切替ボンネット,2640,2772,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
10,PZ42,パッキンセット,260,273,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
11,ZK121-13,Xパッキン,110,116,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
12,Z949-19,吐水口,3150,3308,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
13,Z949-24,吐水口,3570,3749,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
14,Z949-30,吐水口,4200,4410,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
15,ZKF66JY,シャワーエルボ,2340,2457,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
16,ZKF91N,逆止弁,280,294,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
17,ZKF80,シャワーホース接続パッキン,80,84,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
18,Z41681,シートパッキン,490,515,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
19,PZK105,立水栓菊座ナットセット,390,410,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
,寒冷地用(KF14ZE・KF14ZER2・KF14ZER3),,,,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
20,ZK75K-13MN1,ビス止スピンドルセット,570,599,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
21,PZK4K-15,ビス止用こまパッキンセット(2ヶ入),300,315,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
22,PZKF66J,シャワーエルボ,2090,2195,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
1,PZK1ED-2,EDハンドルセット,990,1040,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
2,PZK3ED-2,キャップセット(湯･水),280,294,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
4,PZK127,水栓上部パッキンセット,190,200,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
5,PZK75-13MN,スピンドルセット,490,515,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
6,PZK4JE4-15,KV式節水こま(水側)(2ヶ入),380,399,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
7,PZK4E-15,こま(湯側)(2ヶ入),270,284,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
8,PZKF74N,シャワー切替レバー(ビス付),840,882,KF30N2(W)・KF30N2WZ・KF30N2-R24・KF30N2-R30,KF30N2(W)_B.png,,
