番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
,PZK127,水栓上部パッキンセット,190,200,KM4G(WZ),KM4G(WZ)_B.png,,0
,PZK4E-15,こま,270,284,KM4G(WZ),KM4G(WZ)_B.png,,0
,PZ42-20,パッキンセット20mm,290,305,KM4G(WZ),KM4G(WZ)_B.png,,0
,ZK121-20,Xパッキン,160,168,KM4G(WZ),KM4G(WZ)_B.png,,0
,Z512-15,吐水口,4610,4841,KM4G(WZ),KM4G(WZ)_B.png,,0
,ZKM36,ソケットセット,,,KM4G(WZ),KM4G(WZ)_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM4G(WZ),KM4G(WZ)_B.png,廃番商品,0
,ZKF1,送り座,540,567,KM4G(WZ),KM4G(WZ)_B.png,,0
,寒冷地用(KM4GWZ),,,,KM4G(WZ),KM4G(WZ)_B.png,,0
,PZK75K-13MN,ビス止スピンドルセット,570,599,KM4G(WZ),KM4G(WZ)_B.png,,0
,PZK4K-15,ビス止用こまパッキンセット(湯側）,300,315,KM4G(WZ),KM4G(WZ)_B.png,,0
,PZKM36,ソケットセット,,,KM4G(WZ),KM4G(WZ)_B.png,,0
,PZKF191,水抜きスピンドル,470,494,KM4G(WZ),KM4G(WZ)_B.png,廃番商品,0
,PZK1GE-2,GEハンドルセット,1160,1218,KM4G(WZ),KM4G(WZ)_B.png,,0
,PZK3GE-2,キャップセット(湯･水),530,557,KM4G2(Z),KM4G2(Z)_B.png,,0
,ZK3A-16,丸小ねじ,110,116,KM4G2(Z),KM4G2(Z)_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM4G2(Z),KM4G2(Z)_B.png,,0
,PZK127,水栓上部パッキンセット,190,200,KM4G2(Z),KM4G2(Z)_B.png,,0
,PZK4E-15,こま,270,284,KM4G2(Z),KM4G2(Z)_B.png,,0
,PZ42-20,パッキンセット20mm,290,305,KM4G2(Z),KM4G2(Z)_B.png,,0
,ZK121-20,Xパッキン,160,168,KM4G2(Z),KM4G2(Z)_B.png,,0
,Z512-15,吐水口,4610,4841,KM4G2(Z),KM4G2(Z)_B.png,,0
,ZKM87,ソケットセット,6330,6647,KM4G2(Z),KM4G2(Z)_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM4G2(Z),KM4G2(Z)_B.png,,0
,ZKF1,送り座,540,567,KM4G2(Z),KM4G2(Z)_B.png,,0
,寒冷地用(KM4G2Z),,,,KM4G2(Z),KM4G2(Z)_B.png,,0
,PZK75K-13MN,ビス止スピンドルセット,570,599,KM4G2(Z),KM4G2(Z)_B.png,,0
,PZK4K-15,ビス止用こまパッキンセット,300,315,KM4G2(Z),KM4G2(Z)_B.png,,0
,ZKM87W,ソケットセット,8250,8663,KM4G2(Z),KM4G2(Z)_B.png,,0
,Z403,水抜きスピンドル,490,515,KM4G2(Z),KM4G2(Z)_B.png,,0
,PZK1W85S-3,ハンドルセット,1320,1386,KM4G2(Z),KM4G2(Z)_B.png,,0
,ZK3W85S-2,キャップセット(湯･水),630,662,KM4G3(Z),KM4G3(Z)_B.png,,0
,ZK3A-16,丸小ねじ,110,116,KM4G3(Z),KM4G3(Z)_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM4G3(Z),KM4G3(Z)_B.png,,0
,PZK127,水栓上部パッキンセット,190,200,KM4G3(Z),KM4G3(Z)_B.png,,0
,PZK4E-15,こま(2ヶ入),270,284,KM4G3(Z),KM4G3(Z)_B.png,,0
,PZ42-20,パッキンセット20mm,290,305,KM4G3(Z),KM4G3(Z)_B.png,,0
,ZK121-20,Xパッキン,160,168,KM4G3(Z),KM4G3(Z)_B.png,,0
,Z512-15,吐水口,4610,4841,KM4G3(Z),KM4G3(Z)_B.png,,0
,Z512CP,吐水口先端部一式,2420,2541,KM4G3(Z),KM4G3(Z)_B.png,,0
,PZ511CP3,整流器キャップセット,950,998,KM4G3(Z),KM4G3(Z)_B.png,,0
,ZKM87,ソケットセット,6330,6647,KM4G3(Z),KM4G3(Z)_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM4G3(Z),KM4G3(Z)_B.png,,0
,ZKF1,送り座,540,567,KM4G3(Z),KM4G3(Z)_B.png,,0
,寒冷地用(KM4G3Z),,,,KM4G3(Z),KM4G3(Z)_B.png,,0
,PZK75K-13MN,ビス止スピンドルセット,570,599,KM4G3(Z),KM4G3(Z)_B.png,,0
,PZK4K-15,ビス止用こまパッキンセット(2ヶ入),300,315,KM4G3(Z),KM4G3(Z)_B.png,,0
,ZKM87W,ソケットセット,8250,8663,KM4G3(Z),KM4G3(Z)_B.png,,0
,Z403,水抜きスピンドル,490,515,KM4G3(Z),KM4G3(Z)_B.png,,0
,PZK1GE-2,GEハンドルセット,1160,1218,KM4G3(Z),KM4G3(Z)_B.png,,0
,ZK3A-16,丸小ねじ,110,116,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZK3GE-2,キャップセット(湯･水),530,557,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZK127,水栓上部パッキンセット,190,200,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZK4E-15,こま(2ヶ入),270,284,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZ42-20,パッキンセット20mm,290,305,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,ZK121-20,Ｘパッキン,160,168,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZKM3,吐水口,3890,4085,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZKM3-24,吐水口,4100,4305,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZKM19,整流器セット,630,662,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZK105,立水栓菊座ナットセット,390,410,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,PZK126,アングル接続パッキン,270,284,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,ZKF17,接続ナット,400,420,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
,寒冷地用(KM8GZ),,,,KM8G(Z)・KM8G-R24,KM8G(Z)_B.png,,0
